referrer_path	missing_target	line	type	context
src/App.vue	vue	2	import	import { ref, computed, watch, onMounted } from 'vue'
src/components/ReportIssueButton.vue	vue	2	import	import { ref, computed } from 'vue'
src/components/ui/MagicDateInput.vue	vue	55	import	import { ref } from 'vue';
src/components/visuals/RadarChart.vue	vue	9	import	import { onMounted, watch } from 'vue';
src/components/visuals/RadarChart.vue	chart.js/auto	10	import	import Chart from 'chart.js/auto';
src/components/visuals/SoulSigil.vue	vue	10	import	import { computed } from 'vue';
src/core/llm/promptBuilder.ts	node:fs	1	import	import fs from 'node:fs'
src/core/llm/promptBuilder.ts	node:path	2	import	import path from 'node:path'
src/core/llm/promptBuilder.ts	node:url	3	import	import { fileURLToPath } from 'node:url'
src/core/scoring/DestinyScoringEngine.ts	./normalize.js	1	import	import { normalizeSignalMap } from './normalize.js'
src/main.js	vue	1	import	import { createApp } from 'vue'
src/router/index.js	vue-router	1	import	import { createRouter, createWebHistory } from 'vue-router'
src/ui/transitions/StageTransition.vue	vue	2	import	import { ref, computed, onMounted, onBeforeUnmount } from 'vue'
src/views/02_Input.vue	vue	2	import	import { ref } from 'vue'
src/views/03_Resonance.vue	vue	170	import	import { ref, onMounted, onBeforeUnmount, computed, nextTick, watch } from 'vue'
src/views/04_Computation.vue	vue	22	import	import { computed, watch, onMounted } from 'vue'
src/views/04_Interpretation.vue	vue	61	import	import { computed } from 'vue'
src/views/05_Dashboard.vue	vue	552	import	import { computed, ref, onMounted, onUnmounted, watch, nextTick } from 'vue'
src/views/components/Round2FourSymbolPanel.v1.vue	vue	69	import	import { computed, watch } from 'vue'
scripts/analyticsReport.mjs	fs	2	import	import fs from 'fs'
scripts/analyticsReport.mjs	path	3	import	import path from 'path'
scripts/analyticsReport.mjs	readline	4	import	import readline from 'readline'
scripts/analyzeAnchorPerformance.mjs	fs	5	import	import { readFileSync, existsSync } from 'fs'
scripts/analyzeAnchorPerformance.mjs	url	6	import	import { fileURLToPath } from 'url'
scripts/analyzeAnchorPerformance.mjs	path	7	import	import { dirname, join } from 'path'
scripts/auditPatternTags.mjs	fs	5	import	import { readFileSync } from 'fs'
scripts/auditPatternTags.mjs	url	6	import	import { fileURLToPath } from 'url'
scripts/auditPatternTags.mjs	path	7	import	import { dirname, join } from 'path'
scripts/deprecateUnused.mjs	fs	2	import	import fs from 'fs'
scripts/deprecateUnused.mjs	path	3	import	import path from 'path'
scripts/deprecateUnused.mjs	child_process	4	import	import { execSync } from 'child_process'
scripts/diagnoseReading.mjs	node:fs/promises	1	import	import { readFile } from 'node:fs/promises'
scripts/diagnoseReading.mjs	node:path	2	import	import path from 'node:path'
scripts/doctorPaths.mjs	fs	2	import	import fs from 'fs'
scripts/doctorPaths.mjs	path	3	import	import path from 'path'
scripts/doctorPaths.mjs	./motherThemes.v1.json	35	import	const expectedLoaderImport = "import motherThemes from './motherThemes.v1.json'"
scripts/doctorPaths.mjs	../ontology/motherThemes.v1.json	54	import	const expectedMotherImport = "import motherThemesDB from '../ontology/motherThemes.v1.json'"
scripts/doctorPaths.mjs	./resultLexicon.v1.json	71	import	const expectedResultImport = "import resultLexicon from './resultLexicon.v1.json'"
scripts/fixChoiceMeta.mjs	fs	1	import	import fs from 'fs';
scripts/fixChoiceMeta.mjs	path	2	import	import path from 'path';
scripts/fixQuestionBankJSON.mjs	fs	1	import	import fs from 'fs';
scripts/fixQuestionBankJSON.mjs	path	2	import	import path from 'path';
scripts/fixQuestionBankJSON2.mjs	fs	1	import	import fs from 'fs';
scripts/fixQuestionBankJSON2.mjs	path	2	import	import path from 'path';
scripts/fixQuestionBankJSON3.mjs	fs	1	import	import fs from 'fs';
scripts/fixQuestionBankJSON3.mjs	path	2	import	import path from 'path';
scripts/fixQuestionBankJSON4.mjs	fs	1	import	import fs from 'fs';
scripts/fixQuestionBankJSON4.mjs	path	2	import	import path from 'path';
scripts/fixQuestionBankJSONFinal.mjs	fs	1	import	import fs from 'fs';
scripts/fixQuestionBankJSONFinal.mjs	path	2	import	import path from 'path';
scripts/generateAnchorSamples.mjs	fs	5	import	import { readFileSync } from 'fs'
scripts/generateAnchorSamples.mjs	url	6	import	import { fileURLToPath } from 'url'
scripts/generateAnchorSamples.mjs	path	7	import	import { dirname, join } from 'path'
scripts/notifyDigest.mjs	fs	2	import	import fs from 'fs'
scripts/notifyDigest.mjs	path	3	import	import path from 'path'
scripts/notifyDigest.mjs	nodemailer	196	dynamic_import	nodemailer = await import('nodemailer')
scripts/scanImports.mjs	fs	2	import	import fs from 'fs'
scripts/scanImports.mjs	path	3	import	import path from 'path'
scripts/scanImports.mjs	glob	4	import	import { globSync } from 'glob'
scripts/smoke-flow.mjs	fs	1	import	import fs from 'fs'
scripts/smoke-flow.mjs	path	2	import	import path from 'path'
scripts/smoke-flow.mjs	url	3	import	import { fileURLToPath } from 'url'
scripts/telemetryServer.mjs	http	2	import	import http from 'http'
scripts/telemetryServer.mjs	fs	3	import	import fs from 'fs'
scripts/telemetryServer.mjs	path	4	import	import path from 'path'
scripts/validate/validate-governance.mjs	fs	1	import	import fs from 'fs'
scripts/validate/validate-modes.mjs	../../src/core/content/resultTemplates/readingOutputV2.js	2	import	import buildOutputV2 from '../../src/core/content/resultTemplates/readingOutputV2.js'
scripts/validate/validate-ontology-consistency.mjs	node:fs	11	import	import fs from 'node:fs'
scripts/validate/validate-ontology-consistency.mjs	node:path	12	import	import path from 'node:path'
scripts/validate/validate-ontology-consistency.mjs	node:url	13	import	import { fileURLToPath } from 'node:url'
scripts/validate/validate-questionbank.mjs	node:fs/promises	1	import	import { readFile } from 'node:fs/promises'
scripts/validate/validate-questionbank.mjs	node:path	2	import	import path from 'node:path'
scripts/validateOutputV2.mjs	../src/core/content/resultTemplates/readingOutputV2.js	2	import	import buildOutputV2 from '../src/core/content/resultTemplates/readingOutputV2.js'
scripts/validateRound2.mjs	node:fs/promises	1	import	import { readFile } from 'node:fs/promises'
scripts/validateRound2.mjs	node:path	2	import	import path from 'node:path'
scripts/validateRound4.mjs	node:fs/promises	1	import	import { readFile } from 'node:fs/promises'
scripts/validateRound4.mjs	node:path	2	import	import path from 'node:path'
scripts/verify/verify-no-legacy-bundles.mjs	fs	2	import	import fs from 'fs'
scripts/verify/verify-no-legacy-bundles.mjs	path	3	import	import path from 'path'
scripts/verify/verify-no-legacy-strings.mjs	fs	1	import	import fs from 'fs'
